,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
792,4633,CARTER LAKE,592.85,4.98193277311,7907.59,66.4503361345,78,16.7835843699,22.1679831933,51510,1894.4,6671.43
793,4634,CEDAR RAPIDS,307.5,4.58955223881,4536.79,67.7132835821,57,18.0777967306,22.6086567164,52402,1373.38,1137.84
794,4635,CEDAR RAPIDS,132.94,3.3235,2135.12,53.378,57,20.2348799392,17.84125,52405,900.38,1029.58
795,4636,CEDAR RAPIDS,113.92,3.07891891892,2441.95,65.9986486486,57,23.5585309865,22.0218918919,52402,445.07,4823.66
796,4637,CEDAR RAPIDS,518.04,3.19777777778,6735.91,41.579691358,57,17.0312487179,13.8704938272,52404,1350.19,556.38
797,4638,DAVENPORT,1578.25,11.3543165468,35719.18,256.972517986,82,20.5103978471,85.7203597122,52804,4003.61,1599.72
798,4640,DAVENPORT,758.13,6.83,16894.0,152.198198198,82,25.2656964483,50.7737837838,52807,5492.36,432.18
799,4641,DES MOINES,491.05,3.16806451613,6399.49,41.2870322581,77,17.3512714034,13.7955483871,50315,1528.26,345.0
800,4642,WATERLOO,846.36,7.29620689655,12594.06,108.569482759,7,20.1712982348,36.2067241379,50701,3134.15,1053.54
801,4643,RED OAK,177.9,6.58888888889,3030.78,112.251111111,69,18.9002469136,37.4533333333,51566,1025.28,516.72
802,4644,DAVENPORT,1199.65,8.21678082192,13394.52,91.7432876712,82,17.856094282,30.6062328767,52803,3701.05,443.52
803,4645,ELDRIDGE,258.02,3.35090909091,3334.82,43.3093506494,82,16.1941995289,14.4471428571,52748,899.08,1483.71
804,4647,WATERLOO,509.67,6.98178082192,6430.7,88.0917808219,7,18.240975212,29.3952054795,50707,1331.23,806.11
805,4648,WATERLOO,1983.87,10.9003846154,48383.45,265.843131868,7,24.9952348247,88.6817032967,50703,15798.56,1496.32
806,4650,SWEA CITY,232.22,9.67583333333,2877.23,119.884583333,55,13.094288278,39.9866666667,50590,529.56,787.78
807,4651,JEWELL,400.11,6.35095238095,3763.24,59.733968254,40,14.0216809368,20.0465079365,50130,1049.97,810.0
808,4652,DAVENPORT,1187.37,7.61134615385,24621.19,157.828141026,82,23.2589797009,52.6468589744,52803,6276.31,2162.58
809,4653,JEFFERSON,187.06,5.845625,2561.93,80.0603125,37,19.8254118105,26.7103125,50129,525.18,878.64
810,4654,STUART,510.13,7.28757142857,6852.44,97.892,1,15.6345327605,32.7374285714,50250,1443.99,2594.89
811,4655,PRAIRIE CITY,178.3,6.36785714286,2590.61,92.5217857143,50,18.3664285714,31.0128571429,50228,523.8,2949.66
812,4656,AMES,170.42,5.87655172414,2252.66,77.6779310345,85,18.55591133,25.9327586207,50010,134.08,3676.84
813,4657,WELLSBURG,199.5,18.1363636364,1570.8,142.8,38,9.50164502165,48.0490909091,50680,194.4,5355.36
814,4658,IOWA FALLS,156.0,13.0,1435.88,119.656666667,42,13.3407936508,40.0733333333,50126,238.56,1781.1
815,4659,CONRAD,98.1,4.45909090909,1178.73,53.5786363636,38,18.4235281385,18.125,50621,310.16,1993.48
816,4660,CEDAR RAPIDS,464.76,7.61901639344,7868.7,128.995081967,57,18.8037431694,43.0339344262,52403,3123.12,1933.9
817,4661,GRIMES,314.72,5.82814814815,3751.33,69.4690740741,77,17.7943452381,23.2305555556,50111,608.86,14280.66
818,4662,CEDAR RAPIDS,625.35,7.44464285714,7721.42,91.9216666667,57,15.8229591837,30.6671428571,52405,2765.76,7575.77
819,4663,PEOSTA,272.5,8.79032258065,3756.12,121.16516129,31,16.0362519201,40.5419354839,52068,326.04,1166.7
820,4664,BOONE,255.75,12.1785714286,2657.15,126.530952381,8,14.8108133411,42.4323809524,50036,982.64,1800.03
821,4665,ANKENY,426.62,8.36509803922,5822.82,114.172941176,77,15.7660154062,38.0803921569,50021,1081.74,508.19
822,4667,BEVINGTON,356.11,5.93516666667,4582.04,76.3673333333,61,17.6529107143,25.4903333333,50033,1096.21,528.54
823,4668,CLEAR LAKE,1150.5,6.53693181818,13226.63,75.1513068182,17,14.5385795455,25.1717045455,50428,2685.78,1057.71
824,4669,DES MOINES,138.02,1.72525,9427.17,117.839625,77,82.2522955743,39.289,50312,3502.26,173.76
825,4670,TRIPOLI,1463.48,8.08552486188,16586.7,91.6392265193,9,13.8864647461,30.6799447514,50676,3955.33,456.3
826,4673,WEST POINT,1255.0,8.83802816901,21106.32,148.636056338,56,17.69481556,49.565915493,52656,4819.68,591.0
827,4674,AMES,482.83,5.74797619048,7061.26,84.0626190476,85,18.3243183107,28.0791666667,50010,1936.66,2303.31
828,4675,AMES,259.41,5.08647058824,4080.09,80.0017647059,85,19.9063468721,26.7578431373,50010,849.24,472.08
829,4676,SIOUX CITY,298.89,3.21387096774,5002.91,53.7947311828,97,21.0340632252,17.9475268817,51101,530.44,1408.31
830,4677,CORALVILLE,6974.25,91.7664473684,151432.73,1992.53592105,52,27.7040538847,664.709342105,52241,13892.94,5188.1
831,4678,ADEL,2096.21,14.1635810811,30260.71,204.464256757,25,14.9460384492,68.3406081081,50003,9189.13,1435.11
832,4679,CEDAR RAPIDS,285.0,12.9545454545,3491.16,158.689090909,57,13.7882251082,53.1709090909,52402,354.54,877.62
